CÓDIGOS DOS TRIBUNAIS POR REGIÃO E ESTADO,,,,,,
REGIÃO,ESTADO,TJ,JF,TRT,TRE,TRF
NORDESTE,,,,,,
,RN,8.20,4.05.84,5.21,6.20,TRF-5
,PB,8.15,4.05.82,5.13,6.15,TRF-5
,PE,8.17,4.05.83,5.06,6.17,TRF-5
,BA,8.05,4.01.33,5.05,6.05,TRF-1
,CE,8.06,4.05.81,5.07,6.06,TRF-5
,MA,8.10,4.01.37,5.16,6.10,TRF-1
,PI,8.18,4.01.40,5.22,6.18,TRF-1
,AL,8.02,4.05.80,5.19,6.02,TRF-5
,SE,8.25,4.05.85,5.20,6.25,TRF-5
NORTE,,,,,,
,RR,8.23,4.01.42,5.11,6.23,TRF-1
,RO,8.22,4.01.41,5.14,6.22,TRF-1
,AM,8.04,4.01.32,5.11,6.04,TRF-1
,AC,8.01,4.01.30,5.14,6.01,TRF-1
,TO,8.27,4.01.43,5.10,6.27,TRF-1
,PA,8.14,4.01.39,5.08,6.14,TRF-1
,AP,8.03,4.01.31,5.08,6.03,TRF-1
CENTRO-OESTE,,,,,,
,MT,8.11,4.01.36,5.23,6.11,TRF-1
,MS,8.12,4.03.60,5.24,6.12,TRF-3
,GO,8.09,4.01.35,5.18,6.09,TRF-1
,DF,8.07,4.01.34,5.10,6.07,TRF-1
SUDESTE,,,,,,
,RJ,8.19,4.02.51,5.01,6.19,TRF-2
,SP,8.26,4.03.61,5.02,6.26,TRF-3
,ES,8.08,4.02.50,5.17,6.08,TRF-2
,MG,8.13,4.01.38,5.03,6.13,TRF-1
SUL,,,,,,
,PR,8.16,4.04.70,5.09,6.16,TRF-4
,RS,8.21,4.04.71,5.04,6.21,TRF-4
,SC,8.24,4.04.72,5.12,6.24,TRF-4